date,total_cost,total_value,total_gain,total_gain_rate,sbi_cost,sbi_value,sbi_gain,sbi_gain_rate,rakuten_cost,rakuten_value,rakuten_gain,rakuten_gain_rate
2026-08-08,8766997.60,12033390.39,3266392.79,37.2578,7897064.00,10114746.82,2217682.82,28.0824,869933.60,1918643.57,1048709.97,120.5506
2026-08-09,8766997.60,12033390.39,3266392.79,37.2578,7897064.00,10114746.82,2217682.82,28.0824,869933.60,1918643.57,1048709.97,120.5506
2026-08-10,8766997.60,12144351.66,3377354.06,38.5235,7897064.00,10222058.31,2324994.31,29.4412,869933.60,1922293.35,1052359.75,120.9701
2026-08-11,8766997.60,12144444.04,3377446.44,38.5246,7897064.00,10222058.31,2324994.31,29.4412,869933.60,1922385.73,1052452.13,120.9807
2026-08-12,8766997.60,12186056.62,3419059.02,38.9992,7897064.00,10251703.97,2354639.97,29.8167,869933.60,1934352.65,1064419.05,122.3564
2026-08-13,8766997.60,12196102.28,3429104.68,39.1138,7897064.00,10255245.29,2358181.29,29.8615,869933.60,1940856.99,1070923.39,123.1040
2026-08-14,8766997.60,12328278.42,3561280.82,40.6214,7897064.00,10376930.56,2479866.56,31.4024,869933.60,1951347.86,1081414.26,124.3100
2026-08-15,8766997.60,12329697.29,3562699.69,40.6376,7897064.00,10376930.56,2479866.56,31.4024,869933.60,1952766.73,1082833.13,124.4731
2026-08-16,8766997.60,12329697.29,3562699.69,40.6376,7897064.00,10376930.56,2479866.56,31.4024,869933.60,1952766.73,1082833.13,124.4731
2026-08-17,8766997.60,12257230.47,3490232.87,39.8110,7897064.00,10308791.96,2411727.96,30.5396,869933.60,1948438.50,1078504.90,123.9755
2026-08-18,8766997.60,12186383.68,3419386.08,39.0029,7897064.00,10244849.36,2347785.36,29.7299,869933.60,1941534.32,1071600.72,123.1819
2026-08-19,8766997.60,12032875.05,3265877.45,37.2519,7897064.00,10106725.50,2209661.50,27.9808,869933.60,1926149.54,1056215.94,121.4134
2026-08-20,8766997.60,12033326.75,3266329.15,37.2571,7897064.00,10115662.23,2218598.23,28.0940,869933.60,1917664.52,1047730.92,120.4380
2026-08-21,8766997.60,11999770.30,3232772.70,36.8743,7897064.00,10090384.11,2193320.11,27.7739,869933.60,1909386.18,1039452.58,119.4864
2026-08-22,8766997.60,12001130.74,3234133.14,36.8899,7897064.00,10090384.11,2193320.11,27.7739,869933.60,1910746.63,1040813.03,119.6428
2026-08-23,8766997.60,12001130.74,3234133.14,36.8899,7897064.00,10090384.11,2193320.11,27.7739,869933.60,1910746.63,1040813.03,119.6428
2026-08-24,8766997.60,12026576.77,3259579.17,37.1801,7897064.00,10112265.06,2215201.06,28.0509,869933.60,1914311.71,1044378.11,120.0526
2026-08-25,8766997.60,12007627.80,3240630.20,36.9640,7897064.00,10092761.69,2195697.69,27.8040,869933.60,1914866.10,1044932.50,120.1164
2026-08-26,8766997.60,12044587.67,3277590.07,37.3855,7897064.00,10124316.27,2227252.27,28.2035,869933.60,1920271.40,1050337.80,120.7377
2026-08-27,8766997.60,12064627.86,3297630.26,37.6141,7897064.00,10144053.71,2246989.71,28.4535,869933.60,1920574.14,1050640.54,120.7725
2026-08-28,8766997.60,12216966.57,3449968.97,39.3518,7897064.00,10279270.59,2382206.59,30.1657,869933.60,1937695.98,1067762.38,122.7407
2026-08-29,8766997.60,12216880.67,3449883.07,39.3508,7897064.00,10279270.59,2382206.59,30.1657,869933.60,1937610.08,1067676.48,122.7308
2026-08-30,8766997.60,12216880.67,3449883.07,39.3508,7897064.00,10279270.59,2382206.59,30.1657,869933.60,1937610.08,1067676.48,122.7308
2026-09-01,8766997.60,12213545.21,3446547.61,39.3127,7897064.00,10281415.79,2384351.79,30.1929,869933.60,1932129.42,1062195.82,122.1008
