date,broker,account_type,code,quantity,unit_price,note
2025-12-31,SBI証券,NISA(つみたて投資枠),03311187,62332 ,210002 ,2025年12月末までの累計(詳細履歴なし)-SP500
2025-12-31,SBI証券,NISA(つみたて投資枠),04311181,158146 ,1130022 ,2025年12月末までの累計(詳細履歴なし)-Fang
2025-12-31,SBI証券,NISA(成長投資枠),03311187,534185 ,1790000 ,2025年12月末までの累計(詳細履歴なし)-SP500
2025-12-31,SBI証券,NISA(成長投資枠),04311181,146634 ,1224701 ,2025年12月末までの累計(詳細履歴なし)-Fang
2025-12-31,SBI証券,NISA(成長投資枠),04314243,477202 ,815337 ,2025年12月末までの累計(詳細履歴なし)-一歩テック
2025-12-31,SBI証券,NISA(成長投資枠),29313233,365681 ,670000 ,2025年12月末までの累計(詳細履歴なし)-Nas100
2025-12-31,SBI証券,NISA(成長投資枠),2244.T,143 ,298298 ,2025年12月末までの累計(詳細履歴なし)-2244
2025-12-31,SBI証券,特定口座,02311251,34568 ,54004 ,2025年12月末までの累計(詳細履歴なし)-ゴルナス
2025-12-31,楽天証券,旧NISA,9I312179,7392 ,15000 ,2025年12月末までの累計(詳細履歴なし)-VTI
2025-12-31,楽天証券,旧NISA,03311187,400050 ,793659 ,2025年12月末までの累計(詳細履歴なし)-SP500
2025-12-31,楽天証券,旧NISA,0331418A,11441 ,17999 ,2025年12月末までの累計(詳細履歴なし)-オルカン
2026-01-05,SBI証券,NISA(成長投資枠),04314243,17229 ,30000 ,積立-一歩テック
2026-01-06,SBI証券,特定口座,02311251,1130 ,2000 ,積立-ゴルナス
2026-01-06,SBI証券,NISA(つみたて投資枠),04311181,12055 ,100000 ,積立-Fang
2026-02-03,SBI証券,NISA(成長投資枠),04314243,17359 ,30000 ,積立-一歩テック
2026-02-04,SBI証券,NISA(つみたて投資枠),04311181,12572 ,100000 ,積立-Fang
2026-02-06,SBI証券,特定口座,02311251,1075 ,2000 ,積立-ゴルナス
2026-03-03,SBI証券,NISA(成長投資枠),04314243,18487 ,30000 ,積立-一歩テック
2026-03-04,SBI証券,NISA(つみたて投資枠),04311181,12851 ,100000 ,積立-Fang
2026-03-06,SBI証券,特定口座,02311251,1012 ,2000 ,積立-ゴルナス
2026-03-09,SBI証券,NISA(成長投資枠),03311182,115786 ,300000 ,スポット-日経平均
2026-04-03,SBI証券,NISA(成長投資枠),04314243,18778 ,30000 ,積立-一歩テック
2026-04-07,SBI証券,特定口座,02311251,1134 ,2000 ,積立-ゴルナス
2026-04-07,SBI証券,NISA(つみたて投資枠),04311181,13045 ,100000 ,積立-Fang
2026-05-07,SBI証券,NISA(成長投資枠),04314243,15964 ,30000 ,積立-一歩テック
2026-05-08,SBI証券,特定口座,02311251,977 ,2000 ,積立-ゴルナス
2026-05-08,SBI証券,NISA(つみたて投資枠),04311181,11209 ,100000 ,積立-Fang
2026-05-12,SBI証券,NISA(成長投資枠),8931A236,22481 ,60000 ,スポット-SBIゴールド
2026-05-13,SBI証券,NISA(成長投資枠),8931A236,22770 ,60000 ,スポット-SBIゴールド
2026-05-14,SBI証券,NISA(成長投資枠),8931A236,22589 ,60000 ,スポット-SBIゴールド
2026-05-15,SBI証券,NISA(成長投資枠),8931A236,22531 ,60000 ,スポット-SBIゴールド
2026-05-18,SBI証券,NISA(成長投資枠),8931A236,23174 ,60000 ,スポット-SBIゴールド
2026-06-03,SBI証券,NISA(成長投資枠),04314243,14632 ,30000 ,積立-一歩テック
2026-06-04,SBI証券,NISA(つみたて投資枠),04311181,10112 ,100000 ,積立-Fang
2026-06-08,SBI証券,特定口座,02311251,1027 ,2000 ,積立-ゴルナス
2026-06-12,楽天証券,特定口座,SPCX,2 ,43275.6 ,スポット-スペースX(135$×2, 1$=160.280円)
2026-06-25,SBI証券,特定口座,02311251,10387 ,18700 ,スポット-ゴルナス
2026-07-03,SBI証券,NISA(成長投資枠),04314243,15122 ,30000 ,積立-一歩テック
2026-07-07,SBI証券,特定口座,02311251,1048 ,2000 ,積立-ゴルナス
2026-07-07,SBI証券,NISA(つみたて投資枠),04311181,10595 ,100000 ,積立-Fang
2026-07-27,SBI証券,NISA(成長投資枠),29314233,6468 ,30000 ,スポット-SOX
2026-08-03,SBI証券,NISA(成長投資枠),04314243,16061 ,30000 ,積立-一歩テック
2026-08-04,SBI証券,NISA(つみたて投資枠),04311181,10635 ,100000 ,積立-Fang
2026-08-06,SBI証券,特定口座,02311251,1069 ,2000 ,積立-ゴルナス
2026-09-03,SBI証券,NISA(成長投資枠),04314243,15513 ,30000 ,積立-一歩テック
